Term,Freq
Україна,468
підтримка,148
вітати,131
країна,121
український,113
день,106
народ,82
вдячний,81
українець,74
новий,66
територіальний,65
цілісність,64
спільний,64
світ,64
безпека,62
держава,59
бажати,57
співпраця,56
життя,56
радий,55
зустріч,55
президент,53
питання,53
допомога,53
суверенітет,52
незалежність,51
громадянин,48
міжнародний,47
обговорити,46
реформа,44
партнер,44
великий,44
раз,43
зробити,43
рішення,42
розмова,42
перемога,42
робити,40
проект,40
війна,40
Європа,40
боротьба,39
Донбас,39
стратегічний,37
працювати,37
майбутній,37
відносини,37
щирий,36
співчуття,36
єс,35
шлях,35
саміт,35
люди,35
друг,35
європейський,34
право,34
щиро,33
стати,33
цінувати,32
підтримувати,31
робот,30
Крим,30
участь,29
розвиток,29
сила,28
подякувати,28
медаль,28
зусилля,28
партнерство,27
крок,27
здоровя,27
зміцнення,26
історія,25
закон,25
відновлення,25
справжній,24
світовий,24
перший,24
отримати,24
земля,24
економічний,24
готовий,24
виклик,24
хотіти,23
успіх,23
свято,23
загиблий,23
державний,23
вірити,23
чекати,22
угода,22
слово,22
прагнення,22
подальший,22
національний,22
важливий,22
близький,22
член,21
трагедія,21
телефонний,21
сфера,21
ситуація,21
очікувати,21
місто,21
кримський,21
захист,21
гра,21
візит,21
важливо,21
бізнес,21
ініціатива,20
швидкий,20
цінність,20
рівень,20
родина,20
результат,20
протидія,20
програма,20
місце,20
зокрема,20
дружній,20
інтерес,19
сучасний,19
суд,19
сподіватися,19
пишатися,19
партнерства,19
найкращий,19
міцний,19
млн,19
мет,19
кордон,19
діалог,19
двосторонній,19
готовність,19
будувати,19
сша,18
режим,18
найбільший,18
корупція,18
жертва,18
військовий,18
історичний,17
членство,17
успішний,17
територія,17
сильний,17
свобода,17
річниця,17
план,17
мир,17
лідер,17
захищати,17
економіка,17
говорити,17
інтеграція,16
інвестиція,16
час,16
хлопець,16
рік,16
розуміти,16
рада,16
пріоритет,16
процвітання,16
продовжувати,16
провести,16
політичний,16
перспектива,16
незмінний,16
літак,16
змогти,16
збірний,16
енергетичний,16
допомогти,16
боротися,16
інфраструктура,15
сход,15
серце,15
позиція,15
подолання,15
пандемії,15
память,15
наслідок,15
людина,15
кий,15
звільнення,15
давати,15
відповідальність,15
центр,14
створення,14
сприяти,14
рідний,14
рф,14
регіон,14
реалізація,14
початок,14
політик,14
повернути,14
міністр,14
млрд,14
зустрітися,14
знати,14
загинути,14
друз,14
вітання,14
бік,14
бронза,14
агресія,14
Естонія,14
єдиний,13
умова,13
торгівля,13
тиснути,13
справа,13
солідарність,13
слава,13
повернення,13
нагорода,13
можливий,13
мирний,13
команда,13
захисник,13
домовленість,13
голова,13
відвідати,13
влада,13
високо,13
вакцини,13
армія,13
тисяча,12
сталий,12
срібний,12
справедливість,12
система,12
сектор,12
розслідування,12
ринок,12
припинення,12
прагнути,12
правило,12
плече,12
платформа,12
перш,12
нато,12
надійний,12
надалі,12
здобути,12
залишатися,12
досягнення,12
дорога,12
гуманітарний,12
втратити,12
встановлення,12
вибори,12
взаємодія,12
бачити,12
Канада,12
уряд,11
суспільство,11
страшний,11
стояти,11
ставати,11
спільно,11
спортсмен,11
річчя,11
принести,11
потрібний,11
поглиблення,11
повинний,11
парламент,11
останній,11
наступний,11
найближчий,11
наголосити,11
можливість,11
масштабний,11
зона,11
зміна,11
звязку,11
збереження,11
завдання,11
діти,11
