created_at,tweet,Категорія,Категорія_Ід
14.10.2021 14:24:54,"Під час робочої поїздки до Запоріжжя провів робочий ланч з головами дипломатичних представництв країн «Великої сімки» #G7. Обговорили питання мирного врегулювання на Донбасі, реформи та трансформацію України.",Подія,5
14.10.2021 09:29:19,"Україна – нездоланна, допоки в неї є мужні захисники й захисниці. Вони боронять українські кордони на суші, у небі й на воді. Оберігають мир і спокій у містах і селах. Забезпечують економічну безпеку держави. Ви захищаєте Україну, а Покрова Пресвятої Богородиці нехай береже вас!  https://t.co/EeuWfVlzvV",Вшанування,7
12.10.2021 09:36:08,"Радий вітати @vonderleyen та @CharlesMichel в Україні. Упевнений, сьогоднішній діалог у межах XXIII Саміту Україна – ЄС буде плідним і ще більше сприятиме інтеграції 🇺🇦 до європейської спільноти.  https://t.co/z3LU5jBXB4",Вшанування,7
11.10.2021 19:02:00,"Провів важливу розмову з #AngelaMerkel та @EmmanuelMacron щодо активізації переговорів для закінчення війни на #Донбасі та підготовки саміту #N4. 🇺🇦, 🇫🇷 і 🇩🇪 виступають за досягнення домовленостей стосовно узгоджених послідовних кроків, які зможуть забезпечити встановлення миру.  https://t.co/a91mMGG1kw",Подія,5
11.10.2021 18:35:49,"Щиро вітаю Александра Шалленберга #Schallenberg з призначенням на посаду Федерального канцлера Австрії! Розраховую спільно розвивати українсько-австрійську співпрацю, поглиблювати економічну та інвестиційну складову відносин 🇺🇦 й 🇦🇹.",Вшанування,7
09.10.2021 15:04:33,"Не почув адекватних пояснень щодо затримки конкурсу для обрання нового керівника САП. Члени конкурсної комісії мають виконати свій обов'язок, як належить. Для 🇺🇦 ефективність роботи антикорупційних інституцій є пріоритетом.",Невдоволення,1
06.10.2021 18:28:18,"Зустрівся з #FrankWalterSteinmeier у Києві. Дуже важливо, що в дні 80-х роковин трагедії Бабиного Яру Федеральний президент Німеччини відвідує Україну і 🇩🇪 підтримує 🇺🇦 на найвищому рівні.  https://t.co/dkotqswqzd",Подія,5
04.10.2021 15:43:48,Щиро вітаю Фуміо Кішіду @kishida230 з обранням 100-м Прем’єр-міністром Японії. Розраховую на тісну взаємодію з метою подальшого поглиблення 🇺🇦-🇯🇵 партнерства та наповнення його новим змістом. Ціную незмінну підтримку з боку 🇯🇵 суверенітету й територіальної цілісності 🇺🇦.,Вшанування,7
03.10.2021 11:29:56,"Учитель – це не лише про те, щоб дати знання. Учитель – це про велику сім’ю, де кожен учень стає твоєю дитиною. Найтепліші вітання всім, хто дарує нашим дітям мудрість, досвід і частинку свого серця й душі!  https://t.co/5PHbwcgzjd",Вшанування,7
02.10.2021 14:55:59,"Долучився до роботи фракції #СлугаНароду у Трускавці. Депутати розбилися на тематичні робочі групи й жваво дискутують, обговорюючи план реформ на наступні роки. Приємно бачити таку енергію й чути стільки нових цікавих ідей!  https://t.co/TPReMu27jp",Подія,5
29.09.2021 10:32:56,"Два слова, за якими понад 100 тисяч життів. Два слова, за якими мільйони скалічених доль. Два слова, за якими 80 років спільного болю єврейського та українського народів. Бабин Яр… Подібні трагедії не мають повторитись. Ані в Україні, ані в іншому куточку світу. Ніколи знову.  https://t.co/qH9Lr7xmII",Співчуття,2
26.09.2021 01:50:14,"Україна повертає своє! Чемпіонські титули WBA, IBF, IBO, а також WBO – знову, як це і має бути, належать українцю! Важка, але тому ще цінніша #перемога. Саня, дякую! Браво, Чемпіоне! Міць! Сила! #Усик! 🇺🇦🇺🇦🇺🇦 💪💪💪  https://t.co/GNIRBjmnGs",Вшанування,7
25.09.2021 10:01:57,Рік тому внаслідок падіння літака біля #Чугуєва Україна втратила 26 гідних синів. У них попереду було ціле життя й не одна бойова звитяга. Неможливо вгамувати біль від цієї втрати. Щирі співчуття рідним і близьким загиблих воїнів. Україна завжди пам'ятатиме своїх героїв.  https://t.co/pg2rerKlJU,Співчуття,2
23.09.2021 15:18:16,"Вітаю ухвалення @ua_parliament мого законопроекту про деолігархізацію #5599! Україна відкрита для великого бізнесу, але не для олігархічного впливу на чиновників, політиків і медіа. Сьогодні ми зробили ще один крок до того, щоб його позбутися. Дякую всім депутатам за підтримку!",Підтримка,6
23.09.2021 07:59:53,"Під час зустрічі з моїм другом @BorisJohnson обговорили посилення взаємодії 🇺🇦 і 🇬🇧 у сферах торгівлі, оборони, фінансів, енергетики. Підбили перші підсумки Угоди про вільну торгівлю – зростання товарообігу на 70%. Вдячний за підтримку цілісності 🇺🇦 і #КримськоїПлатформи.  https://t.co/4a6enH0r5Q",Подія,5
22.09.2021 18:31:18,"На зустрічі з @jensstoltenberg подякував за незмінну підтримку 🇺🇦 та участь представника @NATO у саміті #КримськоїПлатформи в Києві. Для країн, які прагнуть членства в Альянсі, має бути чітка часова перспектива. Євроатлантичний курс нашої держави незмінний.  https://t.co/Km0mnxPeVR",Подія,5
22.09.2021 17:50:01,"Обговорив з @BradSmi розширення присутності @Microsoft в Україні. Ми зацікавлені у створенні в 🇺🇦 дата-центру #Azure. Також ішлося про участь #Microsoft у розробці систем електронного голосування, антикорупційних програм і взаємодію у сфері кібербезпеки та протидії дезінформації.  https://t.co/PaonaUo8D7",Подія,5
22.09.2021 09:25:32,Зустрівся з представниками української громади у США. Приємне спілкування відбулося в традиційно теплій атмосфері. Вдячний американським українцям за гостинність. Мав честь вручити державні нагороди видатним представникам громади. Ви – справжні патріоти нашої країни!  https://t.co/G6JnxlAMIm,Подія,5
22.09.2021 08:43:22,"На зустрічі з @abdulla_shahid наголосив, що захист прав людини на окупованих територіях України, запобігання мілітаризації #Криму й протидія агресії РФ мають бути пріоритетом #UNGA76. Розраховуємо на тісну співпрацю та ухвалення відповідних резолюцій, які ініціює 🇺🇦.  https://t.co/3DclAOb5q9",Подія,5
22.09.2021 08:39:08,Під час зустрічі з моїм другом @RTErdogan обговорили весь спектр співробітництва 🇺🇦 і 🇹🇷 – від зони вільної торгівлі до військово-технічної співпраці. Наші відносини стають дедалі конкретнішими та наповнюються практичними проектами.  https://t.co/ordxNVbPs5,Подія,5
22.09.2021 08:10:11,Під час зустрічі з @antonioguterres подякував за підтримку суверенітету й територіальної цілісності 🇺🇦. Закликав Генсека ООН посилити підтримку #КримськоїПлатформи. Запросив Антоніу Гутерріша відвідати 🇺🇦.  https://t.co/nfZg7Gp2u2,Подія,5
21.09.2021 20:47:21,Під час зустрічі подякував @vonderleyen за участь #ЄС у саміті #КримськоїПлатформи на найвищому рівні й виділення 🇺🇦 траншу макрофінансової допомоги. Обговорили підготовку до саміту Україна–ЄС 12 жовтня. Наголосив на важливості стратегічного діалогу щодо енергетичної безпеки 🇪🇺.  https://t.co/bTaOfq93Vg,Подія,5
21.09.2021 18:19:37,"Вітаю @JustinTrudeau з перемогою на виборах. Упевнений, що особливе партнерство між 🇺🇦 та 🇨🇦 надалі поглиблюватиметься. Очікую на свого друга Джастіна Трюдо у #Kyiv з візитом.  https://t.co/L2RT51c73X",Вшанування,7
21.09.2021 08:34:39,20 років тому найбільший в історії світу теракт забрав життя 2996 людей. 12 з них були українцями. Вічна пам'ять усім жертвам #9/11.  https://t.co/7Lu0ih56BK,Співчуття,2
17.09.2021 21:16:52,"З радістю повідомляю, що Україна вперше в історії учнівського спорту здобула право приймати чемпіонат світу з футболу серед школярів і Всесвітню зимову Гімназіаду – 2023. Переконаний, ми проведемо їх на найвищому рівні!  https://t.co/zo9w9qCqmk",Вшанування,7
17.09.2021 09:47:25,"Рятівники – люди з великим серцем. Пожежники, рятувальники, сапери, пілоти авіації й громадяни, які просто не змогли пройти повз чужу біду. Вони без вагань ризикують собою, щоб зберегти життя іншим. Реальні герої сьогодення! З Днем рятівника! Пишаємося вами!  https://t.co/Qkd2VwoaNW",Вшанування,7
15.09.2021 09:26:47,"Вітаю рішення @EU_Commission про виділення Україні другого траншу макрофінансової допомоги в сумі €600 млн. Вдячний #ЄС, @vonderleyen, @Vdombrovskis за позитивну оцінку впроваджуваних Україною реформ. Це свідчення солідарності 🇺🇦 та 🇪🇺 у подоланні викликів і боротьбі з #COVID19",Вдячність,3
11.09.2021 13:12:44,"20 років тому жахливі атаки #9/11 назавжди змінили світ. Сьогодні ми разом з американським народом згадуємо жертв цієї трагедії. Тероризму немає виправдання, маємо й надалі спільно протидіяти йому. Ми залишаємося пліч-о-пліч зі США у цій боротьбі.  https://t.co/Mzs0ZX6Wxf",Співчуття,2
11.09.2021 12:00:07,"Активний спосіб життя – запорука здоров’я та довголіття. А здорові громадяни – сильна країна. Тож будуємо інфраструктуру та створюємо умови, щоб кожен міг займатися спортом. І щоб зростали чемпіони, які прославлятимуть 🇺🇦. А ми вболіватимемо за них. З Днем фізкультури і спорту!  https://t.co/3qFUBPubrI",Вшанування,7
11.09.2021 11:21:46,"Українські фільми заявляють про себе на міжнародних фестивалях і завойовують мільйони сердець. Наше кіно доводить: Україна – сучасна й креативна, але не забуває своєї історії й самобутності. У #Деньукраїнськогокіно бажаю втілення творчих задумів і захоплених поглядів глядачів!  https://t.co/XXJ8AqZ2gi",Вшанування,7
09.09.2021 11:04:36,"З глибоким сумом дізнався про жахливу пожежу в ковід-центрі в місті Тетові, #ПівнічнаМакедонія. Висловлюю щирі співчуття Президенту @SPendarovski, македонському народові та родинам загиблих. Бажаю швидкого одужання постраждалим унаслідок цієї трагедії.",Співчуття,2
08.09.2021 14:31:00,Телефоном привітав @SPendarovski з 30-річчям незалежності Північної Македонії. Подякував за підтримку суверенітету України. Також обговорили розширення економічного співробітництва наших держав. Зацікавлений в обміні досвідом між 🇺🇦 і 🇲🇰 щодо поглиблення співпраці з @NATO.,Подія,5
07.09.2021 09:31:00,Військові розвідники сьогодні відіграють ключову роль у захисті інтересів і безпеки України. Завдяки їм ми здатні запобігти загрозам і здолати виклики. А після операції з порятунку людей в Афганістані українській воєнній розвідці аплодує весь світ! З Днем воєнної розвідки 🇺🇦!  https://t.co/hTzM5brYVg,Вшанування,7
06.09.2021 18:00:23,"Щирі вітання іудеям зі святом #РошгаШана, новим 5782 роком! Багатовікова традиція збирає родини разом і дає наснаги на сповнений добром новий рік. Єврейська громада – невід’ємна частина культурного та релігійного життя України. Нехай Всевишній у Книзі Життя запише вам гарний рік!  https://t.co/st18Y40Wpv",Вшанування,7
05.09.2021 13:42:22,"Завершилися #Paralympics @Tokyo2020. Завдяки нашим спортсменам Україна знову показала високий результат і посіла 6-те місце в загальному заліку! Наші паралімпійці завоювали 24 золотих, 47 срібних і 27 бронзових медалей. Дякую кожному! Пишаємося та вітаємо вдома @ukrparalympic!  https://t.co/a8BP6AG6tb",Вшанування,7
04.09.2021 18:00:15,"Усім, хто підняв хвилю хейту після гри з Казахстаном, хочу нагадати, що вболівати – це бути одним цілим з командою і в час перемог, і тоді, коли не все йде гладко. Так, сьогодні буде складно, але віримо в команду. Тримаймо кулаки за наших!  https://t.co/6mYAHri9NL",Підтримка,6
04.09.2021 16:12:13,"Наближаються до завершення @Tokyo2020 #Paralympics, але не закінчуються наші перемоги! Сьогодні легкоатлети Ігор Цвєтов та Оксана Ботурчук і параканоїстка Марина Мажула здобули для 🇺🇦 три срібних медалі! А Василь Ковальчук у кульовій стрільбі виборов «бронзу». Вітаю призерів!  https://t.co/4ORBMo3vnh",Вшанування,7
04.09.2021 14:59:53,"Окупанти в #Криму знову вдаються до переслідувань кримських татар. У їхніх будинках відбуваються чергові обшуки й затримання. Вже забрали Нарімана Джелялова, 1-го заступника голови Меджлісу. Так РФ реагує на початок роботи #КримськоїПлатформи. Всі затримані мають бути звільнені!  https://t.co/H5KfDOTuBe",Невдоволення,1
03.09.2021 17:48:57,"Завдяки нашим спортсменам на @Tokyo2020 #Paralympics Україна сьогодні знову прозвучала на весь світ! Плавці Максим Крипак і Денис Остапченко, веслувальник Сергій Ємельянов і легкоатлетка Зоя Овсій вибороли 4 «золота»! Також маємо 5 срібних і 1 бронзову медалі! Ви – наша гордість!  https://t.co/28n1Lnkv72",Вшанування,7
02.09.2021 21:45:38,"Радий зустрітися з @tim_cook, який керує компанією, що надихає своїм прикладом усіх прихильників цифровізації у світі. 🇺🇦 також уже є світовим IT-хабом. Ми зацікавлені у розширенні присутності @Apple в Україні та реалізації нових амбітних спільних проектів.  https://t.co/d11rU47IRb",Сентенція,4
